sentence,disease
I’ve had muscle pain and chills for a few days.,Malaria
"Symptoms such as high fever, loss of appetite and skin rash are bothering me.",Chicken pox
My body is showing signs of loss of appetite and yellowing of eyes.,Hepatitis C
Symptoms such as indigestion and loss of appetite are bothering me.,Peptic ulcer diseae
Symptoms such as continuous feel of urine and burning micturition are bothering me.,Urinary tract infection
"I'm experiencing symptoms like diarrhoea, high fever, sweating, vomiting and headache.",Malaria
"I think I’m having rusty sputum, chest pain, cough and sweating.",Pneumonia
"My body is showing signs of acidity, chest pain and ulcers on tongue.",GERD
"My body is showing signs of ulcers on tongue, acidity, vomiting, stomach pain and chest pain.",GERD
I have been suffering from breathlessness and vomiting.,Heart attack
"I feel discomfort due to restlessness, diarrhoea, fatigue, excessive hunger and fast heart rate.",Hyperthyroidism
"Recently, I noticed itching and dischromic  patches.",Fungal infection
"I have been suffering from breathlessness, high fever and family history.",Bronchial Asthma
"I think I’m having history of alcohol consumption, swelling of stomach, vomiting and distention of abdomen.",Alcoholic hepatitis
I’ve had itching and skin rash for a few days.,Fungal infection
"My body is showing signs of high fever, breathlessness, fatigue and sweating.",Pneumonia
"I think I’m having loss of appetite, abdominal pain, nausea and yellowing of eyes.",Chronic cholestasis
"I'm experiencing symptoms like restlessness, diarrhoea, fatigue and muscle weakness.",Hyperthyroidism
I feel discomfort due to muscle pain and chest pain.,Common Cold
"Symptoms such as blurred and distorted vision, fatigue, increased appetite, polyuria and restlessness are bothering me.",Diabetes 
"I’ve had nausea, vomiting, yellowing of eyes, muscle pain and joint pain for a few days.",hepatitis A
I feel discomfort due to muscle wasting and high fever.,AIDS
Troubled by scurring and skin rash lately.,Acne
"Symptoms such as chest pain, sweating and vomiting are bothering me.",Heart attack
"Symptoms such as headache, spinning movements, nausea, unsteadiness and loss of balance are bothering me.",(vertigo) Paroymsal  Positional Vertigo
"I feel discomfort due to chest pain, ulcers on tongue, cough and vomiting.",GERD
"I'm experiencing symptoms like fatigue, joint pain, headache and back pain.",Dengue
"I feel discomfort due to weight loss, abdominal pain, vomiting and fatigue.",Jaundice
"Troubled by vomiting, headache, drying and tingling lips, excessive hunger and nausea lately.",Hypoglycemia
"I’ve had congestion, headache, runny nose and fatigue for a few days.",Common Cold
I have been suffering from shivering and continuous sneezing.,Allergy
"I’ve had hip joint pain, painful walking, neck pain and swelling joints for a few days.",Osteoarthristis
"I’ve had blurred and distorted vision, indigestion, headache and excessive hunger for a few days.",Migraine
"I feel discomfort due to knee pain, painful walking, hip joint pain, joint pain and neck pain.",Osteoarthristis
"I'm experiencing symptoms like diarrhoea, vomiting, nausea and yellowing of eyes.",hepatitis A
These days I feel silver like dusting and skin rash.,Psoriasis
"I feel discomfort due to loss of balance, headache, spinning movements and nausea.",(vertigo) Paroymsal  Positional Vertigo
"I have been suffering from malaise, receiving unsterile injections, loss of appetite, lethargy and itching.",Hepatitis B
"I'm experiencing symptoms like fatigue, abdominal pain, weight loss and dark urine.",Jaundice
I feel discomfort due to red sore around nose and high fever.,Impetigo
"I think I’m having dehydration, vomiting and diarrhoea.",Gastroenteritis
"I’ve had drying and tingling lips, vomiting, fatigue and headache for a few days.",Hypoglycemia
"I feel discomfort due to mucoid sputum, high fever and cough.",Bronchial Asthma
"Symptoms such as irritability, abnormal menstruation and mood swings are bothering me.",Hyperthyroidism
"I’ve had swelling of stomach, fluid overload, vomiting, history of alcohol consumption and yellowish skin for a few days.",Alcoholic hepatitis
I'm experiencing symptoms like vomiting and constipation.,Typhoid
"Recently, I noticed pain in anal region, pain during bowel movements, irritation in anus and bloody stool.",Dimorphic hemmorhoids(piles)
"I'm experiencing symptoms like depression, weight gain, puffy face and eyes, brittle nails and enlarged thyroid.",Hypothyroidism
"Troubled by high fever, dark urine, itching and yellowish skin lately.",Jaundice
"My body is showing signs of spotting  urination, burning micturition and stomach pain.",Drug Reaction
Troubled by diarrhoea and sunken eyes lately.,Gastroenteritis
"Troubled by unsteadiness, vomiting, nausea and spinning movements lately.",(vertigo) Paroymsal  Positional Vertigo
"Recently, I noticed loss of appetite, skin rash, red spots over body, malaise and headache.",Chicken pox
"Symptoms such as breathlessness, vomiting, sweating and chest pain are bothering me.",Heart attack
Symptoms such as high fever and patches in throat are bothering me.,AIDS
"My body is showing signs of chest pain, stomach pain, acidity, ulcers on tongue and vomiting.",GERD
"I’ve had back pain, neck pain and dizziness for a few days.",Cervical spondylosis
These days I feel foul smell of urine and bladder discomfort.,Urinary tract infection
"These days I feel diarrhoea, vomiting, sunken eyes and dehydration.",Gastroenteritis
"I'm experiencing symptoms like headache, chills, diarrhoea, muscle pain and high fever.",Malaria
I’ve had yellowing of eyes and loss of appetite for a few days.,Hepatitis C
"These days I feel mucoid sputum, cough, family history and high fever.",Bronchial Asthma
"These days I feel diarrhoea, vomiting and joint pain.",hepatitis A
I have been suffering from inflammatory nails and skin rash.,Psoriasis
"I have been suffering from skin peeling, skin rash and small dents in nails.",Psoriasis
"Troubled by headache, skin rash and malaise lately.",Dengue
Troubled by skin rash and pus filled pimples lately.,Acne
"Troubled by sweating, abnormal menstruation and excessive hunger lately.",Hyperthyroidism
"Recently, I noticed yellowing of eyes and itching.",Chronic cholestasis
"Troubled by yellow urine, loss of appetite, fatigue, malaise and abdominal pain lately.",Hepatitis B
"These days I feel shivering, watering from eyes and chills.",Allergy
"I’ve had abdominal pain, yellowish skin, itching, loss of appetite and yellowing of eyes for a few days.",Chronic cholestasis
"Symptoms such as loss of appetite, nausea and yellowish skin are bothering me.",Hepatitis C
"Recently, I noticed blurred and distorted vision, headache, drying and tingling lips and slurred speech.",Hypoglycemia
"Recently, I noticed vomiting, yellowing of eyes and abdominal pain.",Chronic cholestasis
"I’ve had skin rash, scurring, pus filled pimples and blackheads for a few days.",Acne
"I feel discomfort due to fatigue, swollen blood vessels, bruising, swollen legs and cramps.",Varicose veins
"I feel discomfort due to skin rash, nodal skin eruptions and dischromic  patches.",Fungal infection
"I feel discomfort due to blister, yellow crust ooze, high fever and skin rash.",Impetigo
"Recently, I noticed vomiting and abdominal pain.",Alcoholic hepatitis
"Recently, I noticed loss of appetite and skin rash.",Chicken pox
"I'm experiencing symptoms like family history, yellowish skin, nausea and yellowing of eyes.",Hepatitis C
"These days I feel nausea, yellowish skin and yellowing of eyes.",Hepatitis C
"I’ve had cough, vomiting, malaise and blood in sputum for a few days.",Tuberculosis
"I have been suffering from skin rash, blackheads and scurring.",Acne
"Troubled by family history, breathlessness and mucoid sputum lately.",Bronchial Asthma
"These days I feel nodal skin eruptions, dischromic  patches and itching.",Fungal infection
"My body is showing signs of vomiting, dehydration, diarrhoea and sunken eyes.",Gastroenteritis
"I have been suffering from joint pain, knee pain and painful walking.",Osteoarthristis
"I’ve had nausea, vomiting, unsteadiness, headache and loss of balance for a few days.",(vertigo) Paroymsal  Positional Vertigo
"Recently, I noticed excessive hunger, headache, vomiting, blurred and distorted vision and drying and tingling lips.",Hypoglycemia
"I’ve had itching, receiving unsterile injections, yellow urine, loss of appetite and malaise for a few days.",Hepatitis B
I have been suffering from abdominal pain and passage of gases.,Peptic ulcer diseae
I'm experiencing symptoms like blackheads and scurring.,Acne
"My body is showing signs of swelling joints, joint pain and hip joint pain.",Osteoarthristis
These days I feel receiving unsterile injections and itching.,Hepatitis B
I feel discomfort due to yellowing of eyes and receiving blood transfusion.,Hepatitis B
"I'm experiencing symptoms like itching, nodal skin eruptions, skin rash and dischromic  patches.",Fungal infection
"I think I’m having shivering, watering from eyes and chills.",Allergy
"I’ve had restlessness, fatigue and irregular sugar level for a few days.",Diabetes 
"My body is showing signs of cough, malaise, breathlessness, sweating and chest pain.",Tuberculosis
"Recently, I noticed yellowing of eyes, yellow urine and fatigue.",Hepatitis B
"My body is showing signs of vomiting, loss of appetite, abdominal pain, indigestion and internal itching.",Peptic ulcer diseae
"My body is showing signs of skin rash, itching, burning micturition, stomach pain and spotting  urination.",Drug Reaction
"Symptoms such as vomiting, passage of gases and abdominal pain are bothering me.",Peptic ulcer diseae
"I have been suffering from chills, constipation and headache.",Typhoid
I have been suffering from yellowish skin and fatigue.,Jaundice
"I feel discomfort due to diarrhoea, abnormal menstruation, irritability, excessive hunger and restlessness.",Hyperthyroidism
"I feel discomfort due to watering from eyes, chills and continuous sneezing.",Allergy
"Recently, I noticed fatigue, mood swings and muscle weakness.",Hyperthyroidism
"These days I feel yellowing of eyes, vomiting, joint pain, loss of appetite and fatigue.",Hepatitis D
"I feel discomfort due to yellowish skin, yellow urine, loss of appetite and malaise.",Hepatitis B
"My body is showing signs of excessive hunger, irritability, abnormal menstruation and fast heart rate.",Hyperthyroidism
Symptoms such as dischromic  patches and itching are bothering me.,Fungal infection
"Troubled by high fever, muscle wasting, patches in throat and extra marital contacts lately.",AIDS
"My body is showing signs of scurring, pus filled pimples and skin rash.",Acne
I feel discomfort due to fatigue and blurred and distorted vision.,Diabetes 
"I think I’m having skin rash, loss of appetite and headache.",Chicken pox
"I have been suffering from nausea, headache and fatigue.",Hypoglycemia
